Original Index,Interpolated Array Index,Measurement at Zero-Crossing
2.5,5,0.107709
7.5,15,0.274729
12.5,25,0.353674
17.5,35,0.398133
22.5,45,0.464795
27.5,55,0.523376
32.5,65,0.492463
37.5,75,0.352247
42.5,85,0.178088
47.5,95,0.047838
52.5,105,-0.049927
57.5,115,-0.181281
62.5,125,-0.355727
67.5,135,-0.49427
72.5,145,-0.522842
77.5,155,-0.463285
82.5,165,-0.397098
87.5,175,-0.352702
92.5,185,-0.272298
97.5,195,-0.103575
102.5,205,0.111822
107.5,215,0.277119
112.5,225,0.354631
117.5,235,0.39918
122.5,245,0.466304
127.5,255,0.523872
132.5,265,0.490607
137.5,275,0.348753
142.5,285,0.174918
147.5,295,0.045764
152.5,305,-0.052032
157.5,315,-0.184494
162.5,325,-0.359192
167.5,335,-0.496031
172.5,345,-0.52227
177.5,355,-0.461775
182.5,365,-0.396075
187.5,375,-0.351717
192.5,385,-0.26983
197.5,395,-0.099421
202.5,405,0.115911
207.5,415,0.279471
212.5,425,0.355575
217.5,435,0.40024
222.5,445,0.46781
227.5,455,0.524329
232.5,465,0.488704
237.5,475,0.345248
242.5,485,0.171768
247.5,495,0.043706
252.0,504,-0.043705
257.0,514,-0.171768
262.0,524,-0.345247
267.0,534,-0.488705
272.0,544,-0.52433
277.0,554,-0.46781
282.0,564,-0.40024
287.0,574,-0.355575
292.0,584,-0.279472
297.0,594,-0.115911
302.0,604,0.099421
307.0,614,0.26983
312.0,624,0.351717
317.0,634,0.396075
322.0,644,0.461775
327.0,654,0.52227
332.0,664,0.496031
337.0,674,0.359192
342.0,684,0.184494
347.0,694,0.052031
352.0,704,-0.045764
357.0,714,-0.174917
362.0,724,-0.348753
367.0,734,-0.490608
372.0,744,-0.523873
377.0,754,-0.466303
382.0,764,-0.39918
387.0,774,-0.354631
392.0,784,-0.27712
397.0,794,-0.111822
402.0,804,0.103576
407.0,814,0.272299
412.0,824,0.352703
417.0,834,0.397098
422.0,844,0.463285
427.0,854,0.522842
432.0,864,0.494271
437.0,874,0.355727
442.0,884,0.181281
447.0,894,0.049927
452.0,904,-0.047838
457.0,914,-0.178088
462.0,924,-0.352247
467.0,934,-0.492463
472.0,944,-0.523377
477.0,954,-0.464795
482.0,964,-0.398132
487.0,974,-0.353674
492.0,984,-0.274729
497.0,994,-0.10771
