IFFT Real,IFFT Imag,IFFT Magnitude
0.0,0.0,0.0
3e-06,0.000101,0.000101
-1.5e-05,-0.000232,0.000232
4.3e-05,0.000457,0.000459
-0.000137,-0.001086,0.001095
0.039085,0.246774,0.24985
0.00026,0.001364,0.001389
-0.000164,-0.000735,0.000753
0.000134,0.000523,0.00054
-0.000121,-0.000416,0.000433
0.000114,0.000351,0.000369
-0.000111,-0.000309,0.000329
0.000111,0.000281,0.000302
-0.000113,-0.000262,0.000285
0.000118,0.00025,0.000277
-0.000126,-0.000246,0.000277
0.000139,0.000252,0.000288
-0.000161,-0.000273,0.000317
0.000209,0.000329,0.000389
-0.000351,-0.000516,0.000624
0.014759,0.020314,0.025109
0.00024,0.000309,0.000391
-8.9e-05,-0.000107,0.000139
4e-05,4.5e-05,6e-05
-1.5e-05,-1.6e-05,2.2e-05
1e-06,1e-06,1e-06
8e-06,8e-06,1.2e-05
-1.5e-05,-1.3e-05,2e-05
2e-05,1.7e-05,2.6e-05
-2.4e-05,-1.8e-05,3e-05
2.7e-05,1.9e-05,3.3e-05
-2.9e-05,-2e-05,3.5e-05
3.1e-05,2e-05,3.7e-05
-3.3e-05,-1.9e-05,3.8e-05
3.4e-05,1.9e-05,3.9e-05
-3.5e-05,-1.8e-05,3.9e-05
3.6e-05,1.7e-05,4e-05
-3.7e-05,-1.6e-05,4e-05
3.8e-05,1.5e-05,4e-05
-3.8e-05,-1.4e-05,4.1e-05
3.9e-05,1.3e-05,4.1e-05
-3.9e-05,-1.1e-05,4.1e-05
3.9e-05,1e-05,4.1e-05
-4e-05,-9e-06,4.1e-05
4e-05,8e-06,4.1e-05
-4e-05,-6e-06,4.1e-05
4e-05,5e-06,4.1e-05
-4.1e-05,-4e-06,4.1e-05
4.1e-05,3e-06,4.1e-05
-4.1e-05,-1e-06,4.1e-05
4.1e-05,-0.0,4.1e-05
-4.1e-05,1e-06,4.1e-05
4.1e-05,-3e-06,4.1e-05
-4.1e-05,4e-06,4.1e-05
4e-05,-5e-06,4.1e-05
-4e-05,6e-06,4.1e-05
4e-05,-8e-06,4.1e-05
-4e-05,9e-06,4.1e-05
3.9e-05,-1e-05,4.1e-05
-3.9e-05,1.1e-05,4.1e-05
3.9e-05,-1.3e-05,4.1e-05
-3.8e-05,1.4e-05,4.1e-05
3.8e-05,-1.5e-05,4e-05
-3.7e-05,1.6e-05,4e-05
3.6e-05,-1.7e-05,4e-05
-3.5e-05,1.8e-05,3.9e-05
3.4e-05,-1.9e-05,3.9e-05
-3.3e-05,1.9e-05,3.8e-05
3.1e-05,-2e-05,3.7e-05
-2.9e-05,2e-05,3.5e-05
2.7e-05,-1.9e-05,3.3e-05
-2.4e-05,1.8e-05,3e-05
2e-05,-1.7e-05,2.6e-05
-1.5e-05,1.3e-05,2e-05
8e-06,-8e-06,1.2e-05
1e-06,-1e-06,1e-06
-1.5e-05,1.6e-05,2.2e-05
4e-05,-4.5e-05,6e-05
-8.9e-05,0.000107,0.000139
0.00024,-0.000309,0.000391
0.014759,-0.020314,0.025109
-0.000351,0.000516,0.000624
0.000209,-0.000329,0.000389
-0.000161,0.000273,0.000317
0.000139,-0.000252,0.000288
-0.000126,0.000246,0.000277
0.000118,-0.00025,0.000277
-0.000113,0.000262,0.000285
0.000111,-0.000281,0.000302
-0.000111,0.000309,0.000329
0.000114,-0.000351,0.000369
-0.000121,0.000416,0.000433
0.000134,-0.000523,0.00054
-0.000164,0.000735,0.000753
0.00026,-0.001364,0.001389
0.039085,-0.246774,0.24985
-0.000137,0.001086,0.001095
4.3e-05,-0.000457,0.000459
-1.5e-05,0.000232,0.000232
3e-06,-0.000101,0.000101
